,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,30-130,1990,9.2,19,2.06,17,2,0,0,0,0,2,0.22,2,0,0,0,0,0,0,Matches
2,Tammy Abraham,eng ENG,FW,Chelsea,23-096,1997,8.7,16,1.84,10,0,1,2,3,0,2,0.23,1,0,0,0,1,0,0,Matches
3,Che Adams,eng ENG,FW,Southampton,24-177,1996,15,30,2.01,22,0,1,3,4,0,5,0.33,5,0,0,0,0,0,0,Matches
4,Tosin Adarabioyo,eng ENG,DF,Fulham,23-104,1997,11,8,0.73,8,0,0,0,0,0,1,0.09,1,0,0,0,0,0,0,Matches
5,Adrián,es ESP,GK,Liverpool,34-003,1987,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Sergio Agüero,ar ARG,FW,Manchester City,32-218,1988,1.6,4,2.52,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Ola Aina,ng NGA,DF,Fulham,24-090,1996,12,12,1,11,1,0,0,0,0,1,0.08,1,0,0,0,0,0,0,Matches
8,Rayan Aït Nouri,fr FRA,DF,Wolves,19-214,2001,5.9,7,1.19,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Semi Ajayi,ng NGA,DF,West Brom,27-058,1993,16,4,0.25,3,0,0,1,0,0,2,0.12,1,0,0,1,0,0,0,Matches
10,Nathan Aké,nl NED,DF,Manchester City,25-323,1995,5.2,2,0.38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
11,Marc Albrighton,eng ENG,"DF,FW",Leicester City,31-049,1989,7.8,22,2.82,17,0,3,1,0,1,3,0.38,2,0,0,1,0,0,0,Matches
12,Thiago Alcántara,es ESP,MF,Liverpool,29-270,1991,2.7,8,2.96,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Toby Alderweireld,be BEL,DF,Tottenham,31-310,1989,10.9,11,1.01,8,0,0,3,0,0,3,0.28,3,0,0,0,0,0,0,Matches
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-091,1998,13.5,42,3.11,26,13,1,2,0,0,4,0.3,4,0,0,0,0,0,0,Matches
15,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,28-329,1992,10.8,24,2.22,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
16,Alisson,br BRA,GK,Liverpool,28-096,1992,14,2,0.14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Allan,br BRA,MF,Everton,29-364,1991,11.4,17,1.49,12,0,3,1,1,0,1,0.09,1,0,0,0,0,0,0,Matches
18,Dele Alli,eng ENG,"MF,FW",Tottenham,24-270,1996,0.9,3,3.51,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
19,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,26-331,1994,9.4,19,2.03,17,0,1,0,1,0,2,0.21,2,0,0,0,0,0,0,Matches
20,Marcos Alonso,es ESP,DF,Chelsea,30-009,1990,2.5,4,1.6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Steven Alzate,co COL,MF,Brighton,22-120,1998,5.8,17,2.93,14,0,1,2,0,0,1,0.17,1,0,0,0,0,0,0,Matches
22,Daniel Amartey,gh GHA,DF,Leicester City,26-016,1994,2.9,1,0.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
23,Ethan Ampadu,wal WAL,"MF,DF",Sheffield Utd,20-114,2000,9.8,8,0.82,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
24,Joachim Andersen,dk DEN,DF,Fulham,24-220,1996,8.7,5,0.58,5,0,0,0,0,0,1,0.12,1,0,0,0,0,0,0,Matches
25,Felipe Anderson,br BRA,"FW,MF",West Ham,27-266,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
26,Michail Antonio,eng ENG,FW,West Ham,30-284,1990,6.4,22,3.46,10,1,2,3,6,0,2,0.31,0,1,0,0,1,0,0,Matches
27,Alphonse Areola,fr FRA,GK,Fulham,27-314,1993,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Stuart Armstrong,sco SCO,MF,Southampton,28-282,1992,12.5,23,1.84,20,0,1,0,1,1,7,0.56,4,0,1,0,1,1,0,Matches
29,Kepa Arrizabalaga,es ESP,GK,Chelsea,26-095,1994,3,1,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31-202,1989,15,28,1.87,23,0,1,1,3,0,4,0.27,4,0,0,0,0,0,0,Matches
31,Serge Aurier,ci CIV,DF,Tottenham,28-013,1992,7.7,9,1.17,7,0,1,1,0,0,1,0.13,1,0,0,0,0,0,0,Matches
32,Charlie Austin,eng ENG,FW,West Brom,31-185,1989,1.5,1,0.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,29-117,1991,8.4,12,1.43,5,0,2,1,3,1,2,0.24,1,0,0,1,0,0,0,Matches
34,Luke Ayling,eng ENG,DF,Leeds United,29-134,1991,16.8,26,1.55,23,0,2,1,0,0,2,0.12,2,0,0,0,0,0,0,Matches
35,César Azpilicueta,es ESP,DF,Chelsea,31-131,1989,6.6,10,1.52,10,0,0,0,0,0,2,0.3,2,0,0,0,0,0,0,Matches
36,Eric Bailly,ci CIV,DF,Manchester Utd,26-269,1994,4.1,1,0.24,1,0,0,0,0,0,1,0.24,1,0,0,0,0,0,0,Matches
37,Fabián Balbuena,py PAR,DF,West Ham,29-136,1991,12,2,0.17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
38,George Baldock,eng ENG,DF,Sheffield Utd,27-303,1993,16,21,1.31,17,0,1,2,0,1,1,0.06,1,0,0,0,0,0,0,Matches
39,Gareth Bale,wal WAL,FW,Tottenham,31-174,1989,1.8,7,3.89,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,Matches
40,Patrick Bamford,eng ENG,FW,Leeds United,27-123,1993,16.2,22,1.36,13,0,3,2,3,1,9,0.56,3,0,2,1,3,0,0,Matches
41,Phil Bardsley,sco SCO,DF,Burnley,35-192,1985,3,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
42,Ross Barkley,eng ENG,MF,Chelsea,27-032,1993,0.5,3,6.43,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Ross Barkley,eng ENG,MF,Aston Villa,27-032,1993,5,29,5.75,15,9,4,1,0,0,4,0.79,3,1,0,0,0,0,0,Matches
44,Ashley Barnes,eng ENG,FW,Burnley,31-068,1989,8.7,22,2.53,16,0,0,3,2,1,0,0,0,0,0,0,0,0,0,Matches
45,Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-028,1997,13.2,29,2.19,17,0,4,4,4,0,3,0.23,1,0,2,0,0,0,0,Matches
46,Kyle Bartley,eng ENG,DF,West Brom,29-229,1991,8.3,4,0.48,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
47,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32-170,1988,15.8,13,0.82,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
48,Michy Batshuayi,be BEL,FW,Crystal Palace,27-096,1993,4.8,11,2.31,7,1,1,0,2,0,2,0.42,1,0,0,0,1,0,0,Matches
49,Jan Bednarek,pl POL,DF,Southampton,24-269,1996,16,7,0.44,7,0,0,0,0,0,1,0.06,1,0,0,0,0,0,0,Matches
50,Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23-263,1997,2.9,9,3.15,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
51,Héctor Bellerín,es ESP,DF,Arsenal,25-293,1995,14.2,28,1.97,25,1,0,1,1,0,6,0.42,5,0,0,0,1,0,0,Matches
52,Saïd Benrahma,dz ALG,"MF,FW",West Ham,25-149,1995,4.4,14,3.17,11,0,1,1,1,0,2,0.45,2,0,0,0,0,0,0,Matches
53,Josh Benson,eng ENG,MF,Burnley,21-032,1999,2.8,1,0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
54,Christian Benteke,be BEL,FW,Crystal Palace,30-034,1990,6,14,2.33,13,0,0,0,1,0,1,0.17,1,0,0,0,0,0,0,Matches
55,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30-071,1990,2.7,3,1.13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Sander Berge,no NOR,MF,Sheffield Utd,22-327,1998,11.3,22,1.95,18,0,2,1,0,1,1,0.09,0,0,0,1,0,0,0,Matches
57,Steven Bergwijn,nl NED,"FW,MF",Tottenham,23-090,1997,7.6,20,2.65,15,1,0,0,4,0,1,0.13,0,0,0,0,1,0,0,Matches
58,Bernard,br BRA,"FW,MF",Everton,28-120,1992,3,12,3.94,10,0,1,0,1,0,1,0.33,1,0,0,0,0,0,0,Matches
59,Bernardo,br BRA,"MF,DF",Brighton,25-237,1995,1.3,4,3.1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
60,Ryan Bertrand,eng ENG,DF,Southampton,31-154,1989,15.9,16,1.01,11,4,0,0,1,0,1,0.06,1,0,0,0,0,0,0,Matches
61,Yves Bissouma,ml MLI,MF,Brighton,24-129,1996,15.3,26,1.7,23,0,0,2,0,1,1,0.07,1,0,0,0,0,0,0,Matches
62,Jayden Bogle,eng ENG,"DF,MF",Sheffield Utd,20-163,2000,1.4,2,1.42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
63,Willy Boly,ci CIV,DF,Wolves,29-338,1991,12,8,0.67,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Jarrod Bowen,eng ENG,"FW,MF",West Ham,24-017,1996,14.3,43,3,26,5,3,6,2,1,4,0.28,2,2,0,0,0,0,0,Matches
65,Robbie Brady,ie IRL,MF,Burnley,28-358,1992,6.8,9,1.33,7,2,0,0,0,0,1,0.15,0,1,0,0,0,0,0,Matches
66,Rhian Brewster,eng ENG,FW,Sheffield Utd,20-280,2000,6.7,11,1.65,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,Matches
67,Josh Brownhill,eng ENG,MF,Burnley,25-018,1995,14,19,1.36,14,0,2,1,1,1,0,0,0,0,0,0,0,0,0,Matches
68,Joe Bryan,eng ENG,"DF,FW",Fulham,27-111,1993,3.8,8,2.11,4,3,0,0,1,0,1,0.26,0,0,0,0,1,0,0,Matches
69,Kean Bryan,eng ENG,DF,Sheffield Utd,24-066,1996,1.7,1,0.59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
70,Oliver Burke,sco SCO,FW,Sheffield Utd,23-274,1997,6.8,15,2.21,11,0,3,0,0,1,1,0.15,1,0,0,0,0,0,0,Matches
71,Dan Burn,eng ENG,DF,Brighton,28-242,1992,8.1,7,0.86,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
72,Oskar Buur,dk DEN,DF,Wolves,22-281,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
73,Willy Caballero,ar ARG,GK,Chelsea,39-100,1981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
74,Gary Cahill,eng ENG,DF,Crystal Palace,35-018,1985,5,4,0.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
75,Tom Cairney,sco SCO,MF,Fulham,29-352,1991,8.4,35,4.15,21,8,3,1,2,0,2,0.24,2,0,0,0,0,0,0,Matches
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,23-296,1997,15.6,26,1.67,16,0,2,4,4,0,7,0.45,2,0,0,4,1,0,0,Matches
77,João Cancelo,pt POR,"DF,MF",Manchester City,26-224,1994,11,37,3.36,32,2,3,0,0,0,4,0.36,4,0,0,0,0,0,0,Matches
78,Ian Carlo Poveda,eng ENG,"MF,DF",Leeds United,20-332,2000,2.6,7,2.66,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
79,Andy Carroll,eng ENG,FW,Newcastle Utd,32-000,1989,2.4,5,2.09,2,0,1,0,1,1,1,0.42,1,0,0,0,0,0,0,Matches
80,Matty Cash,eng ENG,DF,Aston Villa,23-152,1997,13.6,19,1.4,14,2,2,0,1,0,2,0.15,2,0,0,0,0,0,0,Matches
81,Timothy Castagne,be BEL,DF,Leicester City,25-032,1995,8.7,10,1.16,7,1,0,0,0,2,2,0.23,2,0,0,0,0,0,0,Matches
82,Ivan Cavaleiro,pt POR,FW,Fulham,27-080,1993,10.8,26,2.41,15,6,1,3,0,1,1,0.09,1,0,0,0,0,0,0,Matches
83,Edinson Cavani,uy URU,FW,Manchester Utd,33-327,1987,3.4,7,2.09,5,0,0,2,0,0,2,0.6,2,0,0,0,0,0,0,Matches
84,Dani Ceballos,es ESP,MF,Arsenal,24-152,1996,10.6,31,2.93,26,2,1,0,1,1,1,0.09,1,0,0,0,0,0,0,Matches
85,Ben Chilwell,eng ENG,DF,Chelsea,24-016,1996,13,26,2,14,9,0,1,1,1,4,0.31,4,0,0,0,0,0,0,Matches
86,Hamza Choudhury,eng ENG,MF,Leicester City,23-097,1997,0.8,1,1.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Andreas Christensen,dk DEN,DF,Chelsea,24-271,1996,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
88,Ciaran Clark,ie IRL,DF,Newcastle Utd,31-102,1989,8,4,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Nathaniel Clyne,eng ENG,DF,Crystal Palace,29-276,1991,8.8,4,0.46,3,1,0,0,0,0,1,0.11,1,0,0,0,0,0,0,Matches
90,Conor Coady,eng ENG,DF,Wolves,27-316,1993,16,6,0.37,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
91,Séamus Coleman,ie IRL,DF,Everton,32-087,1988,6.3,11,1.74,8,1,1,0,1,0,3,0.47,2,0,0,0,1,0,0,Matches
92,Aaron Connolly,ie IRL,FW,Brighton,20-344,2000,6.5,9,1.39,5,0,2,0,2,0,1,0.15,1,0,0,0,0,0,0,Matches
93,Liam Cooper,sco SCO,DF,Leeds United,29-129,1991,10.8,6,0.56,4,0,0,1,0,1,2,0.19,2,0,0,0,0,0,0,Matches
94,Hélder Costa,pt POR,MF,Leeds United,26-360,1994,7.5,16,2.12,12,0,1,1,2,0,2,0.27,2,0,0,0,0,0,0,Matches
95,Vladimír Coufal,cz CZE,DF,West Ham,28-137,1992,12.9,29,2.24,25,3,0,0,1,0,3,0.23,3,0,0,0,0,0,0,Matches
96,Aaron Cresswell,eng ENG,DF,West Ham,31-022,1989,17,40,2.35,19,18,0,2,1,0,6,0.35,2,2,0,1,1,0,0,Matches
97,Stuart Dallas,nir NIR,"DF,MF",Leeds United,29-262,1991,16.9,29,1.72,25,0,1,2,0,1,2,0.12,2,0,0,0,0,0,0,Matches
98,Scott Dann,eng ENG,DF,Crystal Palace,33-327,1987,8,3,0.37,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
99,Karl Darlow,eng ENG,GK,Newcastle Utd,30-090,1990,16,2,0.12,1,1,0,0,0,0,1,0.06,1,0,0,0,0,0,0,Matches
100,Ben Davies,wal WAL,DF,Tottenham,27-257,1993,7.6,12,1.58,8,0,1,0,2,1,3,0.4,1,0,1,0,1,0,0,Matches
101,Tom Davies,eng ENG,"MF,DF",Everton,22-190,1998,4.7,9,1.9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
102,Keinan Davis,eng ENG,FW,Aston Villa,22-328,1998,0.6,5,8.82,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Matches
103,Leif Davis,eng ENG,DF,Leeds United,20-360,2000,0.4,1,2.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
104,Craig Dawson,eng ENG,DF,West Ham,30-245,1990,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
105,Kevin De Bruyne,be BEL,MF,Manchester City,29-192,1991,13.2,82,6.21,56,14,5,2,2,3,13,0.98,10,0,1,0,1,1,0,Matches
106,Liam Delap,eng ENG,FW,Manchester City,17-333,2003,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
107,Fabian Delph,eng ENG,"MF,DF",Everton,31-046,1989,2.4,2,0.84,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
108,Leander Dendoncker,be BEL,MF,Wolves,25-266,1995,10.5,18,1.71,15,0,0,3,0,0,2,0.19,0,0,0,2,0,0,0,Matches
109,Ibrahima Diallo,fr FRA,MF,Southampton,21-304,1999,2.3,1,0.43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
110,Grady Diangana,eng ENG,"MF,FW",West Brom,22-262,1998,11.9,18,1.52,10,1,1,3,2,1,1,0.08,1,0,0,0,0,0,0,Matches
111,Raphael Dias Belloli,br BRA,MF,Leeds United,24-023,1996,9.3,37,3.99,23,7,4,1,0,2,3,0.32,2,1,0,0,0,0,0,Matches
112,Rúben Dias,pt POR,DF,Manchester City,23-237,1997,12.8,8,0.63,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
113,Eric Dier,eng ENG,DF,Tottenham,26-357,1994,15,6,0.4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
114,Lucas Digne,fr FRA,DF,Everton,27-170,1993,7.8,19,2.44,12,6,0,1,0,0,5,0.64,3,1,0,1,0,0,0,Matches
115,Virgil van Dijk,nl NED,DF,Liverpool,29-182,1991,4.1,1,0.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
116,Issa Diop,fr FRA,DF,West Ham,23-363,1997,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
117,Moussa Djenepo,ml MLI,MF,Southampton,22-205,1998,7.7,20,2.59,10,0,8,0,2,0,4,0.52,1,0,2,0,1,0,0,Matches
118,Matt Doherty,ie IRL,DF,Tottenham,28-356,1992,7.8,16,2.05,12,1,1,0,2,0,1,0.13,1,0,0,0,0,0,0,Matches
119,Gabriel Dos Santos,br BRA,DF,Arsenal,23-018,1997,11.7,6,0.51,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
120,Abdoulaye Doucouré,fr FRA,MF,Everton,28-005,1993,15.1,22,1.46,21,0,1,0,0,0,3,0.2,3,0,0,0,0,0,0,Matches
121,Paul Dummett,wal WAL,DF,Newcastle Utd,29-102,1991,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
122,Lewis Dunk,eng ENG,DF,Brighton,29-046,1991,14,7,0.5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
123,Jimmy Dunne,ie IRL,DF,Burnley,23-079,1997,2,3,1.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
124,Ederson,br BRA,GK,Manchester City,27-142,1993,14,1,0.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
125,Kyle Edwards,eng ENG,"MF,FW",West Brom,22-324,1998,1.3,1,0.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
126,John Egan,ie IRL,DF,Sheffield Utd,28-078,1992,15.1,7,0.46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
127,Ahmed Elmohamady,eg EGY,DF,Aston Villa,33-119,1987,1.5,11,7.44,8,1,0,1,0,1,1,0.68,0,1,0,0,0,0,0,Matches
128,Mohamed Elneny,eg EGY,MF,Arsenal,28-179,1992,9.7,11,1.13,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Matches
129,Jonny Evans,nir NIR,DF,Leicester City,33-003,1988,12.9,7,0.54,7,0,0,0,0,0,1,0.08,1,0,0,0,0,0,0,Matches
130,Eberechi Eze,eng ENG,MF,Crystal Palace,22-191,1998,10.7,36,3.36,21,6,3,1,5,0,4,0.37,0,1,2,0,1,0,0,Matches
131,?ukasz Fabia?ski,pl POL,GK,West Ham,35-263,1985,16,1,0.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
132,Fabinho,br BRA,"DF,MF",Liverpool,27-075,1993,14.4,10,0.7,8,0,0,0,1,1,2,0.14,1,0,0,0,1,0,0,Matches
133,Bruno Fernandes,pt POR,MF,Manchester Utd,26-120,1994,14.4,81,5.62,59,10,1,5,4,2,14,0.97,11,2,0,1,0,0,0,Matches
134,Federico Fernández,ar ARG,DF,Newcastle Utd,31-320,1989,14.5,5,0.34,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
135,Fernandinho,br BRA,MF,Manchester City,35-247,1985,3.8,5,1.32,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Matches
136,Sam Field,eng ENG,MF,West Brom,22-243,1998,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
137,Roberto Firmino,br BRA,"FW,MF",Liverpool,29-096,1991,15.5,45,2.91,31,0,5,5,3,1,4,0.26,4,0,0,0,0,0,0,Matches
138,John Fleck,sco SCO,MF,Sheffield Utd,29-135,1991,8.7,20,2.29,12,5,1,2,0,0,0,0,0,0,0,0,0,0,0,Matches
139,Phil Foden,eng ENG,"FW,DF",Manchester City,20-223,2000,6.6,20,3.05,14,0,4,1,0,1,4,0.61,3,0,0,1,0,0,0,Matches
140,Wesley Fofana,fr FRA,DF,Leicester City,20-020,2000,12,9,0.75,7,0,0,0,1,1,1,0.08,0,0,0,0,1,0,0,Matches
141,Pablo Fornals,es ESP,"MF,FW",West Ham,24-319,1996,14,26,1.86,20,1,0,3,2,0,4,0.29,1,1,0,2,0,0,0,Matches
142,Fraser Forster,eng ENG,GK,Southampton,32-295,1988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
143,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,23-004,1998,0.9,4,4.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
144,Ryan Fraser,sco SCO,MF,Newcastle Utd,26-317,1994,3.1,7,2.29,4,2,0,0,1,0,3,0.98,1,1,0,0,1,0,0,Matches
145,Fred,br BRA,MF,Manchester Utd,27-307,1993,10.1,28,2.76,23,0,1,1,1,2,2,0.2,1,0,0,0,0,1,0,Matches
146,Ryan Fredericks,eng ENG,DF,West Ham,28-088,1992,3.5,14,3.95,12,0,0,0,0,2,1,0.28,1,0,0,0,0,0,0,Matches
147,Christian Fuchs,at AUT,DF,Leicester City,34-274,1986,7.8,3,0.38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Darnell Furlong,eng ENG,DF,West Brom,25-067,1995,15.8,17,1.08,12,1,0,3,1,0,2,0.13,2,0,0,0,0,0,0,Matches
149,Conor Gallagher,eng ENG,MF,West Brom,20-335,2000,12.9,14,1.09,9,2,1,1,0,1,1,0.08,1,0,0,0,0,0,0,Matches
150,Eric García,es ESP,DF,Manchester City,19-363,2001,2.2,4,1.79,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
151,Dwight Gayle,eng ENG,FW,Newcastle Utd,30-081,1990,0.7,2,2.81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
152,David de Gea,es ESP,GK,Manchester Utd,30-060,1990,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
153,Anwar El Ghazi,nl NED,FW,Aston Villa,25-248,1995,5.4,24,4.48,14,2,4,1,3,0,0,0,0,0,0,0,0,0,0,Matches
